Event ID,Event Name,Category,Description,Location,Date,Rating,Latitude,Longitude
1,Beach Cleanup Drive at Juhu,Environmental,"A community initiative to clean up Juhu Beach, promoting environmental awareness.",Juhu Beach,15-03-2024,1.87,19.1026521,72.82467918
2,Tree Plantation at Sanjay Gandhi National Park,Environmental,Planting native trees to enhance biodiversity and combat climate change.,Borivali,05-04-2024,4.75,19.229068,72.8573628
3,Food Distribution at Dharavi,Community Welfare,"Distributing meals to underprivileged families in Dharavi, ensuring food security.",Dharavi,20-03-2024,3.66,19.044463,72.8586177
4,Educational Workshop for Women,Education & Awareness,Empowering women with basic literacy and vocational skills to promote self-reliance.,Andheri,25-03-2024,2.99,19.1196976,72.8464205
5,Street Play on Social Issues,Cultural & Artistic,Performing street plays to raise awareness about pressing social issues.,Bandra,30-03-2024,0.78,19.0549792,72.8402203
6,Seminar by Environmental Activist,Leadership & Development,A talk by a renowned environmentalist discussing sustainable living practices.,Colaba,10-04-2024,0.78,18.915091,72.8259691
7,Blood Donation Camp,Community Welfare,Organizing a blood donation drive to support local hospitals and patients in need.,Dadar,18-03-2024,0.29,19.0177342,72.8437523
8,Clean-Up Drive at Versova Beach,Environmental,Volunteers gather to remove plastic waste and debris from Versova Beach.,Versova,12-04-2024,4.33,19.13025205,72.8213775
9,Workshop on Digital Literacy,Education & Awareness,Teaching basic computer skills to senior citizens to help them navigate the digital world.,Malad,15-04-2024,3.01,42.1915872,-112.250798
10,Cultural Fest Celebrating Diversity,Cultural & Artistic,"A festival showcasing Mumbai's diverse cultures through music, dance, and food.",Marine Drive,20-04-2024,3.54,49.209675,-123.116935
11,Health Camp for Underprivileged Children,Community Welfare,Providing free health check-ups and vaccinations for children in low-income communities.,Kurla,25-04-2024,0.1,58.69388965,25.68540545
12,River Cleanup at Mithi River,Environmental,Removing pollutants from the Mithi River to restore its natural ecosystem.,Saki Naka,02-05-2024,4.85,19.1082208,72.8835824
13,Workshop on Sustainable Living,Education & Awareness,Educating participants on reducing waste and adopting eco-friendly habits.,Powai,05-05-2024,4.16,19.1187195,72.9073476
14,Street Art Festival,Cultural & Artistic,Encouraging local artists to beautify public spaces with murals and graffiti art.,Lower Parel,10-05-2024,1.06,18.99568,72.8302756
15,Seminar on Mental Health Awareness,Leadership & Development,Discussions led by psychologists to destigmatize mental health issues.,Fort,15-05-2024,0.91,25.3851063,86.46769912
16,Clothes Donation Drive,Community Welfare,Collecting and distributing clothes to homeless individuals and families.,Ghatkopar,18-05-2024,0.92,19.0856928,72.9083668
17,Mangrove Restoration Project,Environmental,Replanting mangroves to protect coastal areas and support marine life.,Navi Mumbai,22-05-2024,1.52,19.0308262,73.0198537
18,Literacy Program for Slum Children,Education & Awareness,Providing basic education to children in slum areas to bridge educational gaps.,Wadala,25-05-2024,2.62,19.0269192,72.8759337
19,Folk Dance Performance,Cultural & Artistic,Showcasing traditional Maharashtrian folk dances to preserve cultural heritage.,Thane,30-05-2024,2.16,19.1943294,72.9701779
20,Leadership Workshop for Youth,Leadership & Development,Training young adults in leadership skills and community engagement.,Vile Parle,05-06-2024,1.46,19.0999098,72.8440038
21,Waste Segregation Awareness Campaign,Environmental,Educating residents on the importance of separating waste for recycling and composting.,Chembur,10-06-2024,3.06,19.054818,72.8979713
22,Free Medical Check-up Camp,Community Welfare,Offering free health screenings and consultations for the elderly.,Mulund,15-06-2024,0.7,19.1721762,72.9562383
23,Workshop on Renewable Energy,Education & Awareness,Informing participants about solar and wind energy solutions for homes.,Khar,20-06-2024,1.46,19.0682411,72.8400412
24,Street Music Festival,Cultural & Artistic,Local musicians perform in public spaces to promote arts and community bonding.,Churchgate,25-06-2024,1.83,18.9354797,72.8271741
25,Seminar on Women's Rights,Leadership & Development,Legal experts discuss women's rights and empowerment strategies.,Sion,30-06-2024,2.28,46.2311749,7.3588795
26,Beach Yoga Session,Community Welfare,A morning yoga session promoting physical and mental well-being by the sea.,Girgaon Chowpatty,05-07-2024,3.93,18.9543739,72.81287123
27,Tree Plantation at Aarey Colony,Environmental,Planting saplings to enhance green cover and support wildlife habitats.,Goregaon,10-07-2024,1,19.1648688,72.8495492
28,Career Guidance Workshop,Education & Awareness,Professionals provide career counseling to high school students.,Kandivali,15-07-2024,2.57,19.2041136,72.8517376
29,Theatre Workshop for Aspiring Actors,Cultural & Artistic,Training sessions for budding actors to hone their theatrical skills.,Juhu,20-07-2024,2.96,19.1070215,72.8275275
30,Seminar on Climate Change,Leadership & Development,Environmental scientists discuss the impacts of climate change and mitigation strategies.,Worli,25-07-2024,0.23,19.0116962,72.8180702
31,Community Cleanliness Drive,Environmental,Residents collaborate to clean and beautify their neighborhood streets.,Matunga,30-07-2024,3.04,19.0274356,72.8501467
32,Nutrition Awareness Camp,Community Welfare,Educating families about balanced diets and healthy eating habits.,Byculla,05-08-2024,0.85,18.9766219,72.8327936
33,Workshop on Financial Literacy,Education & Awareness,Providing financial literacy education for better money management.,Dadar,10-08-2024,0.33,19.0177342,72.8437523
34,Slum Area Clean-Up,Cultural & Artistic,Volunteers help clean up slum areas to improve sanitation and living conditions.,Dadar,15-08-2024,3.7,19.0177342,72.8437523
35,Free Eye Check-up Camp,Environmental,Free eye check-ups and distribution of glasses for underprivileged individuals.,Lower Parel,16-08-2024,3.49,18.99568,72.8302756
36,Heritage Walk Tour,Environmental,"Guided tour through Mumbaiâ€™s heritage sites, promoting cultural awareness.",Chembur,17-08-2024,3.51,19.054818,72.8979713
37,Public Speaking Workshop,Community Welfare,Training session to help individuals build confidence in public speaking.,Vile Parle,18-08-2024,1.8,19.0999098,72.8440038
38,E-Waste Collection Drive,Environmental,Collecting and responsibly disposing of e-waste to reduce pollution.,Versova,19-08-2024,1.47,19.13025205,72.8213775
